"STATUS","CONTAIN","DATE"
"spam","GRATIS INTERNET 2GB plus UNLIMITED CHAT & SOSMED selama 30hari. DataRollover. PROMO 35Rb (Normal 40rb). MAU? Tekan OK kirim SMS ke 929 sd 26/02/18",2018-02-24 07:51:00
"ham","Dah sampe de",2018-02-23 18:14:00
"ham","Ya",2018-02-23 17:52:00
"ham","Ya",2018-02-23 11:12:00
"spam","Kamu baru menikmati BEBAS SMS ke sesama IM3 Ooredoo. Nikmati Penawaran paket TERBAIK di *123# atau myIM3 http://im3.do/m3",2018-02-23 11:11:00
"ham","De makan kucing buat nati sore hbis",2018-02-23 11:08:00
"spam","Kamu baru menikmati BEBAS SMS ke sesama IM3 Ooredoo. Nikmati Penawaran paket TERBAIK di *123# atau myIM3 http://im3.do/m3",2018-02-22 08:33:00
"ham","De blin makan kucing ya",2018-02-22 07:01:00
"spam","GRATIS UNLIMITED YOUTUBE+INTERNET 10GB+CHAT&SOSMED+SMS+NELPON selama 30hari.Data Rollover.PROMO 100Rb (Normal 115rb). MAU? Tekan C25 kirim SMS ke 929 sekarang",2018-02-22 06:46:00
"spam","Km baru saja akses Apps Sehari-hari terpopuler.Nikmati akses YOUTUBE ga habis habis dgn beli pkt Unlimited HANYA di *123# atau myIM3 http://im3.do/m3",2018-02-22 01:10:00
"spam","Pelanggan 6285722688068, Anda masih mempunyai point yang blom ditukar. Cek point anda dan tukarkan dengan PULSA dan JUTAAN hadiah. Cek di *123*513*1# sekarang.",2018-02-21 22:43:00
"spam","BENAR2 UNLIMITED! YouTube, Chat & Sosmed 24 Jam Gak abis-abis tanpa bayar lebih! Ayo RAJAI INTERNET dengan paket UNLIMITED info http://im3.do/ul0221 MAI1",2018-02-21 14:00:00
"spam","Km baru saja akses Apps Sehari-hari terpopuler.Nikmati akses YOUTUBE ga habis habis dgn beli pkt Unlimited HANYA di *123# atau myIM3 http://im3.do/m3",2018-02-21 01:00:00
"ham","Sesuai aplikasi saja ya mba",2018-02-20 20:43:00
"ham","Maav kak ini dari GRAB",2018-02-20 19:29:00
"spam","LUCKY BRONET 24Jam 8GB cuma Rp50rb di RAWIT besok!!Beli promonya di *123*888# /AXISnet, ada BONUS 1GB stlh pembelian, berlaku di semua Jaringan!Info838.AXIS007",2018-02-20 17:24:00
"spam","AXIS Berbagi DISKON! Bronet 24jam 2GB CUMA 15rb,30hr (Norm 30,900) Balas YA, utk dapetin skrg. Internetan makin eksis krn diskon dr AXIS! Info838 AND01B",2018-02-20 08:46:00
"spam","Pelanggan 6285722688068, Anda masih mempunyai point yang blom di tukar. Cek point anda dan tukarkan dengan PULSA dan JUTAAN hadiah. Cek di *123*518*1# sekarang.",2018-02-20 08:19:00
"spam","Km baru saja akses Apps Sehari-hari terpopuler.Nikmati akses YOUTUBE ga habis habis dgn beli pkt Unlimited HANYA di *123# atau myIM3 http://im3.do/m3",2018-02-20 00:07:00
"spam","Tonton Drama Korea/Tanah Air di iFLIX dg promo BRONET kuota besar hny di RABU RAWIT *123*888# Ada BONUS 1GB stlh beli BRONET mulai 5GB di RAWIT.Info838.AXIS007",2018-02-19 10:12:00
"spam","Tonton Drama Korea/Tanah Air di iFLIX dg promo BRONET kuota besar hny di RABU RAWIT *123*888# Ada BONUS 1GB stlh beli BRONET mulai 5GB di RAWIT.Info838.AXIS007",2018-02-19 08:19:00
"spam","Km baru saja akses Apps Sehari-hari terpopuler.Nikmati akses YOUTUBE ga habis habis dgn beli pkt Unlimited HANYA di *123# atau myIM3 http://im3.do/m3",2018-02-19 01:22:00
"spam","Uber: Anda mendapatkan potongan 50% hingga Rp 15000, untuk 10 perjalanan uberX/XL/POOL/UberBLACK Anda. Ayo pesan Uber-mu sekarang! http://t.uber.com/nguber",2018-02-18 23:16:00
"spam","Hore!Nomor Kamu salah satu yg beruntung dpt kesempatan menang Rp 75 Juta TANPA BIAYA dr FANTAXIS!

Cek di *123*444*1# skr!

Info: www.axisnet.id/fantaxis PFF04D",2018-02-18 15:48:00
"spam","Pelanggan Yth,untuk peningkatan kualitas layanan,akan dilakukan penataan frekuensi di Area Anda dalam 7 hari ke depan.Mhn maaf atas ketidaknyamanannya.Info:817",2018-02-18 12:20:00
"spam","GRATIS UNLIMITED YOUTUBE+INTERNET 10GB+CHAT&SOSMED+SMS+NELPON selama 30hari.Data Rollover.PROMO 100Rb (Normal 115rb). MAU? Tekan C25 kirim SMS ke 929 sekarang",2018-02-17 15:04:00
"spam","The terminal cannot be configured remotely, please contact Customer support for further assistance",2018-02-17 14:54:00
"spam","Km baru saja akses Apps Sehari-hari terpopuler.Nikmati akses YOUTUBE ga habis habis dgn beli pkt Unlimited HANYA di *123# atau myIM3 http://im3.do/m3",2018-02-17 14:47:00
"ham","Nikmati akses ke FB, Path, Twitter,Whatsapp, BBM, Line,FB Msg, iFlix&Spotify gak habis habis kuotanya. Info *123# atau myIM3 http://im3.do/m3",2018-02-17 14:45:00
"ham","Kamu skrg aktif di Unlimited+3GB sd 19/03/2018 14:45.Nikmati akses UNLIMITED Apps,SMS&akses YTUBE gak habis habis.Cek kuota*123# atau http://im3.do/m3",2018-02-17 14:45:00
"ham","Registrasi paket Anda sedang diproses. Pastikan settingan APN : indosatgprs. User, passwd & proxy dikosongkan. Restart HP Anda setelah registrasi berhasil.",2018-02-17 14:45:00
"spam","?PromoNotif",2018-02-17 14:22:00
"spam","TOPUP pulsa Rp 50000 berhasil via SMSBANKING CIMB_NIAGA kode trx 0217142209020241. Pulsa anda saat ini Rp 50020. Terima kasih telah menggunakan INDOSAT OOREDOO",2018-02-17 14:22:00
"spam","TOPUP pulsa Rp 50000 berhasil via SMSBANKING CIMB_NIAGA kode trx 0217142209020241. Pulsa anda saat ini Rp 50020. Terima kasih telah menggunakan INDOSAT OOREDOO",2018-02-17 14:22:00
"spam","(AXIS) Kuota 4G paket internet kamu telah digunakan seluruhnya. Penggunaan selanjutnya akan dikenakan tarif normal ya. Info838",2018-02-17 12:11:00
"spam","Untuk mengindari PEMBLOKIRAN, Pemerintah mewajibkan SEGERA REGISTRASI ULANG kartu Anda. Ketik: ULANG#NIK#No.KK# kirim SMS ke4444, klik: http://im3.do/registrasi",2018-02-16 21:41:00
"spam","Perpanjangan PAKET BRONET 24JAM 3GB 30hr Rp40900 tidak berhasil.Pulsa kartu AXISmu tidak cukup utk perpanjangan otomatis. Silakan Isi ulang kembali ya.Info838",2018-02-16 00:31:00
"spam","Pelanggan 6285722688068, Anda masih mempunyai point yang blom di tukar. Cek point anda dan tukarkan dengan PULSA dan JUTAAN hadiah. Cek di *654*9# sekarang.",2018-02-15 21:01:00
"spam","Hore! Nomor Kamu terpilih dpt kesempatan menang Rp 75 Juta TANPA BIAYA dr kuis FANTAXIS!

Cek di *123*444*1# skr!

Info: www.axisnet.id/fantaxis PFF04C",2018-02-15 18:02:00
"spam","iRing keren cuman buat km, Papinka-Cinta Dan Luka (Reff),Rp.0,1/3hr prpnjngan Rp.3190 dengan hnya bls YA lho!",2018-02-15 08:26:00
"spam","Paket kamu akan diperpanjang otomatis HARI INI ke PAKET BRONET 24JAM 3GB 30hr Rp40900. Pastikan pulsa kamu min45rb ya. Info838",2018-02-15 07:34:00
"spam","Pelanggan 6285722688068, Anda masih mempunyai point yang blom ditukar. Cek point anda dan tukarkan dengan PULSA dan JUTAAN hadiah. Cek di *654*9# sekarang.",2018-02-15 01:05:00
"spam","Terus nikmati paket internet terbaik AXIS! Pastikan pulsa kamu min45rb ya untuk perpanjangan paket otomatis 2 hari lagi. Info838 ",2018-02-14 19:01:00
"spam","Tinggal 5jam lagi! 
AXIS Bronet 24jam 2GB CUMA 15rb,30hr (Norm 30,900). Dapetin skrg juga dgn Balas YA! Internetan ASYIK tetep IRIT.
Info838 AND01B",2018-02-14 16:41:00
"spam","BRONET 24Jam 5GB hny Rp45.900 di RAWIT hari ini!! Mau? Beli promonya di *123*888# /AXISnet, BONUS 1GB stlh pembelian, berlaku di semua Jaringan!Info838.AXIS007",2018-02-14 14:03:00
"spam","BRONET 24Jam 5GB hny Rp45.900 di RAWIT hari ini!! Mau? Beli promonya di *123*888# /AXISnet, BONUS 1GB stlh pembelian, berlaku di semua Jaringan!Info838.AXIS007",2018-02-14 11:26:00
"spam","*Masih DISKON*
AXIS Bronet 24jam 2GB CUMA 15rb,30hr (Norm 30,900). Dapetin skrg juga dgn Balas YA! Internetan ASYIK tetep IRIT. AXIS 4G Ready
Info838 AND01B",2018-02-14 09:04:00
"spam","Ayo diaktifkan iRing KERENnya, Nikita Willy-Blowed Rp.0,1/3hr prpnjngan Rp.3190 hnya dgn balas YA!",2018-02-14 07:04:00
"spam","Pelanggan 6285722688068, Anda masih mempunyai point yang blom ditukar. Cek point anda dan tukarkan dengan PULSA dan JUTAAN hadiah. Cek di *654*9# sekarang.",2018-02-14 06:45:00
"spam","GRATIS UNLIMITED YOUTUBE PLUS INTERNET 7GB + CHAT & SOSMED + SMS selama 30hari. Data Rollover. PROMO 70Rb (Normal 80rb). MAU? Tekan C24 kirim SMS ke 929 sd 15/02/18",2018-02-13 10:33:00
"spam","AXIS Berbagi DISKON! Bronet 24jam 2GB CUMA 15rb,30hr (Norm 30,900) Balas YA, utk dapetin skrg. Internetan makin eksis krn diskon dr AXIS! Info838 AND01B",2018-02-13 10:31:00
"spam","awas ketinggalan iRing Aldy Maldini-Biar Aku Yang Pergi, Rp.0,1/3hr prpnjngan Rp.3190 .Lngsung bls YA aja ya!",2018-02-13 09:00:00
"spam","Pelanggan 6285722688068, Anda masih mempunyai point yang blom di tukar. Cek point anda dan tukarkan dengan PULSA dan JUTAAN hadiah. Cek di *757*15# sekarang.",2018-02-13 01:32:00
"spam","maaf baru saya kabarin,kalau kontraknya masih mau diteruskan bayar sama H.edi,no hpnya.081527744899.soalnya sudah sya jual atau pindah tangan ke beliau.",2018-02-13 01:32:00
"spam","Anda susah tidur? hubungi langsung  Dokter Ahli untuk konsultasi. Tekan *123*516*6# di ponsel anda  atau klik bit.ly/im3mH SPI1",2018-02-12 11:15:00
"spam","PAKET BRONET 4G OWSEM 4GB 30hr kamu akan segera aktif. Temukan PROMO menarik AXIS lainnya di aplikasi AXISnet kamu. Info838",2018-02-12 09:22:00
"spam","PAKET BRONET 4G OWSEM 4GB sudah aktif. 1GB kuota utama+3GB kuota 4G berlaku di jam 00-23.59 s.d 13-03-2018.Info838",2018-02-12 09:21:00
"spam","Isi ulang Rp50000.0 berhasil. Kode transaksi 66310212719258. Yuk registrasi ulang kartu AXIS kamu! Kirim SMS ke 4444 dgn format : ULANG#NIK#No.KK",2018-02-12 09:15:00
"spam","(AXIS) Kuota 4G paket internet kamu telah digunakan seluruhnya. Penggunaan selanjutnya akan dikenakan tarif normal ya. Info838",2018-02-11 22:16:00
"spam","Tinggal 5jam lagi! 
AXIS Bronet 24jam 2GB CUMA 15rb,30hr (Norm 30,900). Dapetin skrg juga dgn Balas YA! Internetan ASYIK tetep IRIT.
Info838 AND01B",2018-02-11 17:04:00
"ham","(CITITRANS)CT: Pesanan anda tujuan Dipati Ukur-Fatmawati pd 2018-02-11 12:45:00 dgn no kursi 1 tercatat dgn kode booking BOAP18021479601",2018-02-11 09:11:00
"ham","Untuk mengindari PEMBLOKIRAN, Pemerintah mewajibkan SEGERA REGISTRASI ULANG kartu Anda. Ketik: ULANG#NIK#No.KK# kirim SMS ke4444, klik: http://im3.do/registrasi",2018-02-10 13:54:00
"spam","AXIS Berbagi DISKON! Bronet 24jam 2GB CUMA 15rb,30hr (Norm 30,900) Balas YA, utk dapetin skrg. Internetan makin eksis krn diskon dr AXIS! Info838 AND01B",2018-02-10 11:56:00
"spam","iRing keren cuman buat km, Papinka-Cinta Dan Luka (Reff),Rp.0,1/3hr prpnjngan Rp.3190 dengan hnya bls YA lho!",2018-02-10 08:25:00
"spam","Pelanggan 6285722688068, Anda masih mempunyai point yang blom ditukar. Cek point anda dan tukarkan dengan PULSA dan JUTAAN hadiah. Cek di *654*9# sekarang.",2018-02-10 07:09:00
"ham","Ok tmksh",2018-02-09 19:27:00
"spam","BRONET 24Jam 3GB hny Rp29.900 (normal Rp39.900) bisa buat nonton IFLIX dg beli di *123*888# /AXISNET. Yuk, beli paketnya spy WEEKND-mu SERU..!! Info838.AXIS007",2018-02-09 11:50:00
"spam","BENAR2 UNLIMITED! YouTube, Sosmed & Streaming 24 Jam Gak abis-abis tanpa bayar lebih! Ayo RAJAI INTERNET dengan paket UNLIMITED info http://im3.do/ul0209 MAI1",2018-02-09 08:59:00
"spam","Ayo diaktifkan iRing KERENnya, Nikita Willy-Blowed Rp.0,1/3hr prpnjngan Rp.3190 hnya dgn balas YA!",2018-02-09 07:51:00
"ham","De makan kucing buat nati sore uadh gak ada ",2018-02-09 06:23:00
"spam","(AXIS) Kuota 4G paket internet kamu  hanya 20% lagi. Cek detail pemakaian kamu di aplikasi AXISnet atau telp *889#. Info838",2018-02-09 04:31:00
"spam","Pelanggan 6285722688068, Anda masih mempunyai point yang blom di tukar. Cek point anda dan tukarkan dengan PULSA dan JUTAAN hadiah. Cek di *757*15# sekarang.",2018-02-08 23:27:00
"spam","Ciee yg dpt kesempatan menang Rp 75 Juta TANPA BIAYA dr AXIS! SELAMAT ya Km bs ikutan FANTAXIS!

Cek di *123*444*1# skrg!

Info: www.axisnet.id/fantaxis PFF02B",2018-02-08 15:15:00
"ham","De makan kucng mau  belii kapan ?",2018-02-08 14:50:00
"spam","Ayo pakai MHealth, kamu bisa konsultasi kesehatan langsung dgn Dokter Ahli setiap hari. Tekan *123*516#. Info: 085810533965 atau klik bit.ly/im3mH SPI1",2018-02-08 11:43:00
"ham","oke",2018-02-08 08:56:00
"spam","awas ketinggalan iRing Aldy Maldini-Biar Aku Yang Pergi, Rp.0,1/3hr prpnjngan Rp.3190 .Lngsung bls YA aja ya!",2018-02-08 08:32:00
"spam","Pelanggan 6285722688068, Anda masih mempunyai point yang blom ditukar. Cek point anda dan tukarkan dengan PULSA dan JUTAAN hadiah. Cek di *757*15# sekarang.",2018-02-08 07:39:00
"ham","IYa",2018-02-07 19:41:00
"ham","Masi  ada  untu 2 hari lagi",2018-02-07 18:48:00
"ham","De besok bliin makan kucing ya ",2018-02-07 18:46:00
"spam","Hapus kekhawatiran kamu dengan tausiyah manajemen hati dari Aa Gym. Tekan *123*503*7#. Tarif Rp2.200/SMS, 3SMS/minggu. Info: 0213145715 bit.ly/QUTAaG  SPI8",2018-02-07 12:21:00
"spam","Nonton film favorit di IFLIX,bebas biaya langganan utk AXISers!!Pake BRONET 24Jam 2GB Rp24.900 buat nonton,beli di *123*888# hny di RABU RAWIT.Info838.AXIS007",2018-02-07 10:08:00
"spam","Pelanggan 6285722688068, Anda masih mempunyai point yang blom ditukar. Cek point anda dan tukarkan dengan PULSA dan JUTAAN hadiah. Cek di *757*16# sekarang.",2018-02-07 03:11:00
"spam","Hai AXISers, knp ga pakai paket data bulanan aja? Yok cobain paket terbaru yg bikin lebih hemat, Bronet OWSEM 4G! Cek *123*2# atau aktifin di Axisnet! ARN01A",2018-02-07 01:14:00
"spam","Mau dapat rezeki yang berkah cara Aa Gym? Tekan *123*503*7#. Tarif Rp2.200/SMS, 3SMS/minggu. Info: 0213145715 bit.ly/QUTAaG SPI9",2018-02-06 16:25:00
"ham","Bntr ya mba ngambil dulu uang ke atm...bntar ko uangnya krng buat belinya...makasih",2018-02-06 15:35:00
"spam","RABU RAWIT besok ada BRONET 24Jam 2GB 30hr Rp24.900 bisa buat nonton IFLIX dg beli di *123*888# /app AXISNET!! Siapin pulsanya ya AXISers... !! Info838.AXIS007",2018-02-06 13:20:00
"spam","Pelanggan 6285722688068, Anda masih mempunyai point yang blom di tukar. Cek point anda dan tukarkan dengan PULSA dan JUTAAN hadiah. Cek di *123*513*1# sekarang.",2018-02-06 07:30:00
"ham","Bu tempatnya kga ketemu saya cari saya cencel aja ya ",2018-02-05 18:16:00
"spam","a. Info 185",2018-02-05 14:13:00
"spam","Pelanggan Yth, utk peningkatan kualitas layanan, akan 
 dilakukan penataan frekuensi di area anda dalam 3 hari 
 kedepan. Mhn maaf atas ketidaknyamananny",2018-02-05 14:01:00
"spam","Trm ksh telah memilih Indosat Ooredoo. Secara keseluruhan, seberapa mungkin Anda merekomendasikan kami ke rekan/klrg? Balas N0 sd N10 (N10=tertinggi), GRATIS",2018-02-05 10:22:00
"spam","awas ketinggalan iRing Angga Yunanda-Disini Untuk Kamu, Rp.0,1/3hr prpnjngan Rp.3190 .Lngsung bls YA aja ya!",2018-02-05 07:09:00
"ham","Terima kasih Tn/Ny Tiara atas pembayaran E2PAYDTR780A1ECTTX sebesar Rp.112.000.OTP (checkin loket): 317602.Cek email utk tiket elektroniknya.",2018-02-04 12:08:00
"ham","Hi Tiara, Surprise! km terpilih dpt VOUCHER Rp. 200.000, tunjukan sms ini di Original Levi's Store terdekat. T&C Apply http://bit.ly/2nws13W",2018-02-04 10:11:00
"spam","Raih Uang Tunai Total 168JUTA buat Top 100 poin tertinggi setiap minggunya!Buruan KEPOin programnya di *123*565*6#.  (Coba Gratis2hr)Info838. AV803",2018-02-03 13:35:00
"spam","Pelanggan 6285722688068, Anda masih mempunyai point yang blom ditukar. Cek point anda dan tukarkan dengan PULSA dan JUTAAN hadiah. Cek di *123*513*2# skrg juga.",2018-02-03 02:21:00
"spam","Hai sahabat IM3 Ooredoo, apakah Anda tahu tentang PAYPRO, layanan untuk pembayaran elektronik? Balas ketik YA4 jika tahu atau TDK4 jika tdk tahu. GRATIS",2018-02-02 20:05:00
"spam","BRONET DAYZ 17GB Rp89.900 hny di JUMAT BAIK dg akses *123*888# /app AXISnet dr HP, dapet BONUS 1GB setelah pembelian, berlaku di semua jaringan.Info838.AXIS007",2018-02-02 11:25:00
"spam","Bonus IM3PUAS : Kamu dpt GRATIS 1000 SMS ke Indosat dan 20 SMS ke operator lain berlaku sekarang s.d jam 23.59. Cek bonus *555*12#",2018-02-02 10:03:00
"spam","Pulsamu <Rp2500.Mau PULSA SOS 10000 bs dipakai ke SemuaOperator sd 5hr?Pembayaran Rp10000 & BeaJasa Rp3000 akan dipotong saat isi Pulsa.Balas YA ke 505 /tkn*505#",2018-02-02 10:03:00
"spam","Internetan nyaman selama perjalanan ke luar negeri dgn Paket Roaming dr IM3 Ooredoo, mulai Rp35rb/hari. Tekan *122*1#. Info: http://im3ooredoo.com/roaming PAI1",2018-02-02 09:48:00
"spam","PAKET BRONET 4G OWSEM 4GB sudah aktif. 1GB kuota utama+3GB kuota 4G berlaku di jam 00-23.59 s.d 03-03-2018.Info838",2018-02-02 08:16:00
"spam","PAKET BRONET 4G OWSEM 4GB 30hr kamu akan segera aktif. Temukan PROMO menarik AXIS lainnya di aplikasi AXISnet kamu. Info838",2018-02-02 08:16:00
"spam","Isi ulang Rp50000.0 berhasil. Kode transaksi 55310202518712. Yuk registrasi ulang kartu AXIS kamu! Kirim SMS ke 4444 dgn format : ULANG#NIK#No.KK",2018-02-02 08:16:00
"ham","BNI SMS BANKING:02/02/2018 08:14 Topup XL ke nomor 08382888813 sebesar Rp. 50.000 berhasil. Reff: 20738919.",2018-02-02 08:14:00
"ham","02/02/2018 08:13 TOP XL No 08382888813 sebesar Rp 50000.Utk diproses,reply sms ini,ketik digit ke-5&2 PIN Anda",2018-02-02 08:13:00
"spam","(AXIS) Kamu sdg internetan tanpa paket internet. Pulsa kamu saat ini 513. Lebih IRIT dgn aktifkan paket Internet AXIS, telp *123*887# sekarang! Info838",2018-02-02 08:11:00
"spam","Plgn 6285722688068, poin mu MASIH belum diambil juga? Hub *123*520*15# utk Ambil. Bisa buat tuker pulsa. Jangan sampai hangus.",2018-02-01 20:39:00
"ham","01/02/2018 12:27:16 Ref 0201026669 Passcode 5353 untuk LOGIN Go Mobile CIMB Niaga. Passcode bersifat RAHASIA. Jangan beri ke siapapun!",2018-02-01 12:27:00
"spam","BENAR2 UNLIMITED! YouTube, Sosmed & Streaming 24 Jam Gak abis-abis tanpa bayar lebih! Ayo RAJAI INTERNET dengan paket UNLIMITED info http://im3.do/ul0201 MAI1",2018-02-01 11:06:00
"spam","Pelanggan 6285722688068, Anda masih mempunyai point yang blom di tukar. Cek point anda dan tukarkan dengan PULSA dan JUTAAN hadiah. Cek di *757*16# skrg juga.",2018-01-31 21:56:00
"spam","Harga baru BRONET 24Jam 8GB hny Rp59.900 di RAWIT dg akses *123*888# /app AXISnet dr HP. BONUS 1GB setelah pembelian, berlaku di semua jaringan.Info838.AXIS007",2018-01-31 13:11:00
"ham","31/01/2018 10:56 Pada No. Rek 378088918 ada dana keluar sebesar Rp 100.000,00. Saldo akhir: Rp 3.348.689,00.Berita: BILL PAYMENT  GOPAY CUST    NO  271517370600",2018-01-31 10:56:00
"ham","BNI SMS BANKING:31/01/2018 10:50 TOP GOPAY CUSTOMER 085722688068 Nama:tiara Rp.100.000 Berhasil. Reff:479373",2018-01-31 10:50:00
"ham","31/01/2018 10:50 TOP GOPAY CUSTOMER 085722688068 Nama:tiara Rp.100.000 ketik digit ke-1&2 PIN Anda",2018-01-31 10:50:00
"ham","Cashback up to IDR 500.000,- + 0% until 24 months for Samsung Smartphone with Credit Card at Samsung Outlets, 19 Jan -04 Feb'18. T&C. Info 14041",2018-01-31 09:31:00
"spam","Hi 6285722688068, kamu beruntung mendapatkan kesempatan GRATIS PULSA INDOSAT, cek di *689*15#",2018-01-30 19:42:00
"ham","Disc upto 30% +Add Disc 200K for Samsung Smartphone +0% upto 24mos. Until 31Jan18. Register w/CIMBNiaga email at shop.samsung .com/id_epp/cimbniaga.TC Info14041",2018-01-30 13:00:00
"spam","Pelanggan 6285722688068, Anda masih mempunyai point yang blom ditukar. Cek point anda dan tukarkan dengan PULSA dan JUTAAN hadiah. Cek di *757*15# skrg juga.",2018-01-30 03:26:00
"ham","29/01/2018 21:05 Pada No. Rek 378088918 ada dana keluar sebesar Rp 3.000.000,00. Saldo akhir: Rp 3.448.689,00.Berita: TRF PAY TOP UP ECHANNEL.",2018-01-29 21:05:00
"ham","BNI SMS BANKING:29/01/2018 21:03 Trf Rp 3000000 ke CIMB NIAGA 0030167998115/SUMINAR BUDIARANI ## telah berhasil Ref:976981-100000995793",2018-01-29 21:03:00
"ham","29/01/2018 21:03 Trf Rp3000000 ke CIMB NIAGA 0030167998115/SUMINAR BUDI ## Utk diproses,reply sms ini,ketik digit ke-4&1 PIN Anda",2018-01-29 21:03:00
"spam","Pelanggan 6285722688068, Anda masih mempunyai point yang blom ditukar. Cek point anda dan tukarkan dengan PULSA dan JUTAAN hadiah. Cek di *757*15# skrg juga.",2018-01-29 20:56:00
"ham","Untuk mengindari PEMBLOKIRAN, Pemerintah mewajibkan SEGERA REGISTRASI ULANG kartu Anda. Ketik: ULANG#NIK#No.KK# kirim SMS ke4444, klik: http://im3.do/registrasi",2018-01-29 11:30:00
"ham","29/01/2018 08:57 Pada No. Rek 378088918 ada dana keluar sebesar Rp 100.000,00. Saldo akhir: Rp 955.189,00.Berita: BILL PAYMENT  GOPAY CUST    NO  10151719080478",2018-01-29 08:57:00
"ham","BNI SMS BANKING:29/01/2018 08:53 TOP GOPAY CUSTOMER 085722688068 Nama:tiara Rp.100.000 Berhasil. Reff:309944",2018-01-29 08:53:00
"ham","29/01/2018 08:53 TOP GOPAY CUSTOMER 085722688068 Nama:tiara Rp.100.000 ketik digit ke-1&5 PIN Anda",2018-01-29 08:53:00
"spam","Yuk main games seru sepuasnya di GALAXIS! Ada hadiah kuota 5GB utk 10org tiap minggunya. Buruan main di *123*988*88# Info838 AV825",2018-01-28 13:10:00
"ham","27/01/2018 16:57 Pada No. Rek 378088918 ada dana keluar sebesar Rp 526.680,00. Saldo akhir: Rp 1.055.189,00.Berita: TRF PAY TOP UP ECHANNEL.",2018-01-27 16:57:00
"spam","MOBOINDOSAT
sampaikan bahwa
No.anda pemenang
cek tunai Rp.100 jt
kode PIN undian
25e477r INFO
hadiah buka/KLIK:
www.layananmoboindosat2018.blogspot.com





",2018-01-27 10:12:00
"ham","Disc upto 30% +Add Disc 200K for Samsung Smartphone +0% upto 24mos. Until 31Jan18. Register w/CIMBNiaga email at shop.samsung .com/id_epp/cimbniaga.TC Info14041",2018-01-27 10:01:00
"spam","Pelanggan 6285722688068, Anda masih mempunyai point yang blom di tukar. Cek point anda dan tukarkan dengan PULSA dan JUTAAN hadiah. Cek di *654*9# skrg juga!",2018-01-26 23:17:00
"ham","26/01/2018 22:19 Pada No. Rek 378088918 ada dana keluar sebesar Rp 683.485,00. Saldo akhir: Rp 1.581.869,00.Berita: TRF PAY TOP UP ECHANNEL.",2018-01-26 22:19:00
"spam","AXISers, cobain pkt 4G OWSEM mulai Rp30.900 kuota 4GB dg akses *123*888# / AXISnet dr HP. Ada juga Juara AXIS pkt BRONET DAYZ 8GB hny Rp49.000 Info838. AXIS007",2018-01-26 15:11:00
"ham","Bonus paket sembako senilai 150rb min trx 1jt dg Kartu Kredit CIMB Niaga di Lotte Mart & Lotte Supermarket, berlaku setiap hari dari 26-31Jan'18.S&K.Info 14041",2018-01-26 10:49:00
"spam","Ayo diaktifkan iRing KERENnya, Hiroaki Kato feat. Noe Letto-Ruang Rindu Rp.0,1/3hr prpnjngan Rp.3190 hnya dgn balas YA!",2018-01-26 08:46:00
